parameter,value,unit,description,source
k_thr,0.015,1/s,Thrombin-induced platelet activation via PAR1/PAR4 (max rate constant),"Provisional inherited value; prior attribution not verified: Chatterjee 2010; Kuharsky & Bhatt 2001"
Km_thr,100.0,nM,Km for thrombin-driven activation (half-max platelet response),"Provisional inherited value; prior attribution not verified: Kahn 1998; Brass 2003 — full aggregation EC50 50-200 nM"
n_hill,2.0,unitless,Hill coefficient for thrombin activation (cooperative PAR signaling),"Provisional inherited value; prior attribution not verified: Brass 2003; Diamond 2009"
k_adp,0.005,1/s,ADP-induced platelet activation (P2Y1/P2Y12),"Provisional inherited value; prior attribution not verified: Chatterjee 2010"
Km_adp,1000.0,nM,Km for ADP-driven activation,"Provisional inherited value; prior attribution not verified: Kunapuli 2003"
k_txa,0.004,1/s,TxA2-induced platelet activation (TP receptor),"Provisional inherited value; prior attribution not verified: Chatterjee 2010"
Km_txa,200.0,nM,Km for TxA2-driven activation,"Provisional inherited value; prior attribution not verified: Patrono 2001"
k_agg,0.003,1/s,Aggregation rate (GPIIb/IIIa + fibrinogen bridges),"Provisional inherited value; prior attribution not verified: Chatterjee 2010; simplified"
Km_fbg,500.0,nM,Km for fibrinogen in aggregation (typical plasma ~7500 nM),"Provisional inherited value; prior attribution not verified: Mosesson 2005"
FBG,7500.0,nM,Plasma fibrinogen concentration,"Provisional inherited value; prior attribution not verified: Normal range 5000-10000 nM"
k_rel_adp,100.0,nM/(model-unit*s),ADP dense granule release rate per activated platelet,"Provisional inherited value; prior attribution not verified: Holmsen 1979"
k_txa_syn,25.0,nM/(model-unit*s),TxA2 synthesis rate via COX-1 per activated platelet,"Provisional inherited value; prior attribution not verified: FitzGerald 1987"
k_ps,0.003,1/s,PS exposure rate on activated platelets,"Provisional inherited value; prior attribution not verified: Heemskerk 2002; Lentz 2003"
k_adp_deg,0.05,1/s,ADP degradation by ectonucleotidases (t1/2 ~14s),"Provisional inherited value; prior attribution not verified: Marcus 1997"
k_txa_deg,0.023,1/s,TxA2 degradation (t1/2 ~30s),"Provisional inherited value; prior attribution not verified: Hamberg 1975"
k_deact,0.008,1/s,Platelet deactivation/desensitization rate (receptor internalization + clearance),"Provisional inherited value; prior attribution not verified: Brass 2003; effective rate combining downregulation and consumption"
PLT_rest_0,3000.0,model-unit,Initial resting platelet pool with arbitrary normalization,"Provisional model scale; not a molar platelet count"
